id,source,title,chunk_text
BK_bk_0_1,BOOK:bk_0,Nhà giả kim,Hành trình tìm kho báu và khám phá bản thân qua những bài học sống giản dị.
BK_bk_1_1,BOOK:bk_1,Đắc nhân tâm,"Nghệ thuật giao tiếp và ảnh hưởng, giúp xây dựng mối quan hệ bền vững và thành công."
BK_bk_2_1,BOOK:bk_2,Harry Potter và Hòn đá Phù thuỷ,Cậu bé phù thủy khám phá thế giới phép thuật và bắt đầu cuộc phiêu lưu tại Hogwarts.
BK_bk_3_1,BOOK:bk_3,Cha giàu cha nghèo,"Bài học về tư duy tài chính, đầu tư và khác biệt giữa tài sản và tiêu sản."
BK_bk_4_1,BOOK:bk_4,Cánh đồng bất tận,"Những lát cắt đời sống miền Tây, cảm xúc sâu lắng về thân phận con người."
BK_bk_5_1,BOOK:bk_5,Sapiens: Lược sử loài người,Lược sử về con người: từ săn bắn hái lượm tới xã hội hiện đại và tri thức.
BK_bk_6_1,BOOK:bk_6,Khi hơi thở hóa thinh không,Bác sĩ viết về cái nhìn về cuộc đời và cái chết khi đối diện ung thư.
BK_bk_7_1,BOOK:bk_7,7 Thói Quen Hiệu Quả,Khung làm việc để phát triển thói quen dẫn tới hiệu quả cá nhân và nghề nghiệp.
BK_bk_8_1,BOOK:bk_8,Đàn ông sao Hỏa đàn bà sao Kim,Hiểu khác biệt giới tính để cải thiện giao tiếp và mối quan hệ tình cảm.
BK_bk_9_1,BOOK:bk_9,Cho tôi xin một vé đi tuổi thơ,"Một hành trình trở về thế giới trẻ thơ đầy hồn nhiên qua góc nhìn của bốn đứa trẻ “siêu quậy”: Mùi, Tí, Hải cò và cu Tủn. Cuốn sách tái hiện những ký ức tinh nghịch, trong sáng và đầy mơ mộng, đồng thời nhắc người lớn nhớ lại cách mình đã từng nhìn thế giới – bằng sự tò mò, vô tư và yêu đời. Đây là lời nhắn gửi nhẹ nhàng rằng đôi khi chúng ta cần một “tấm vé” để trở lại với tâm hồn trong trẻo ngày xưa."
BK_bk_10_1,BOOK:bk_10,Dế Mèn Phiêu Lưu Ký,"Câu chuyện trưởng thành của Dế Mèn – một chàng dế trẻ bồng bột nhưng giàu nghĩa khí. Sau bài học cay đắng vì sự kiêu ngạo của mình, Dế Mèn bắt đầu chuyến phiêu lưu qua nhiều vùng đất, gặp gỡ đủ loại sinh vật và chứng kiến bao mảnh đời khác nhau. Hành trình ấy giúp cậu hiểu về trách nhiệm, tình bạn, lòng dũng cảm và tinh thần đoàn kết. Đây là một tác phẩm giàu tính nhân văn, đầy màu sắc và trí tưởng tượng."
BK_bk_11_1,BOOK:bk_11,Bí mật tư duy triệu phú,Thay đổi tư duy về tiền bạc để thay đổi vận mệnh tài chính cá nhân.
BK_bk_12_1,BOOK:bk_12,Thiết kế cuộc đời,Làm thế nào thiết kế cuộc sống sự nghiệp ý nghĩa bằng phương pháp thiết kế sản phẩm.
BK_bk_13_1,BOOK:bk_13,Những người khốn khổ,"Thiên tiểu thuyết lịch sử về nỗi đau, công lý và nhân văn tại Pháp thế kỷ XIX."
BK_bk_14_1,BOOK:bk_14,Hoàng tử bé,"Câu chuyện giản dị, giàu triết lý về tình bạn, tình yêu và sự trưởng thành."
BK_bk_15_1,BOOK:bk_15,Bí mật của may mắn,Nghiên cứu về thế nào may mắn hoạt động và cách tăng cơ hội tốt lành.
BK_bk_16_1,BOOK:bk_16,Tâm lý học đám đông,"Phân tích hành vi tập thể, ảnh hưởng của đám đông đến quyết định và chính trị."
BK_bk_17_1,BOOK:bk_17,Sự im lặng của bầy cừu,"Tiểu thuyết trinh thám rùng rợn, cuộc đối đầu tâm lý kịch tính với kẻ sát nhân."
BK_bk_18_1,BOOK:bk_18,Mắt Biếc,"Câu chuyện dịu dàng và đầy day dứt về Ngạn – chàng trai dành cả tuổi trẻ yêu thầm cô bạn thuở nhỏ tên Hà Lan. Tình yêu chân thành nhưng đơn phương ấy kéo dài suốt những năm tháng trưởng thành, xen lẫn tiếc nuối, khao khát và vẻ đẹp trong trẻo của miền quê thuở ấy. Đây là hành trình về ký ức, sự trưởng thành và nỗi buồn đẹp của những điều không thể nắm giữ."
BK_bk_19_1,BOOK:bk_19,Nghệ thuật giao tiếp để thành công,Các nguyên tắc căn bản để tạo ấn tượng tốt và ảnh hưởng người khác hiệu quả.
BK_bk_20_1,BOOK:bk_20,Cuộc đời Pi,"Chuyến phiêu lưu của cậu bé và con hổ trên biển, câu chuyện về đức tin và sinh tồn."
BK_bk_21_1,BOOK:bk_21,Người bán hàng vĩ đại,Những nguyên tắc bán hàng và quảng cáo hiệu quả từ góc nhìn chuyên gia.
BK_bk_22_1,BOOK:bk_22,Đời ngắn đừng ngủ dài,"Lời nhắc sống trọn vẹn, quản lý thời gian và phát triển bản thân mỗi ngày."
BK_bk_23_1,BOOK:bk_23,Cây cam ngọt của tôi,Câu chuyện cảm động về Zezé – cậu bé nghèo nhưng giàu trí tưởng tượng – và hành trình trưởng thành đầy nỗi đau xen lẫn sự ấm áp của tình yêu thương.
BK_bk_24_1,BOOK:bk_24,Chuyện con mèo dạy hải âu bay,"Một chú mèo nhận lời hứa dạy một chú hải âu mồ côi biết bay, mang thông điệp đẹp về tình yêu thương, trách nhiệm và niềm tin vào điều tưởng chừng không thể."
BK_bk_25_1,BOOK:bk_25,Mật mã Da Vinci,Cuộc đua giải mã bí mật lịch sử ẩn trong các tác phẩm nghệ thuật và tôn giáo.
BK_bk_26_1,BOOK:bk_26,Kẻ trộm sách,"Trong bối cảnh Đức Quốc Xã, cô bé Liesel tìm thấy sức mạnh của chữ nghĩa để chống lại mất mát, chiến tranh và cái ác, được kể lại qua góc nhìn của Thần Chết."
BK_bk_27_1,BOOK:bk_27,Rừng Na Uy,"Một câu chuyện trầm buồn về tình yêu, mất mát và tuổi trẻ thông qua hành trình trưởng thành của Toru Watanabe trong những năm đại học."
BK_bk_28_1,BOOK:bk_28,Trăm năm cô đơn,"Biên niên sử kỳ ảo về dòng họ Buendía trong ngôi làng Macondo, nơi lịch sử, tình yêu, bi kịch và phép màu đan cài trong vòng lặp số phận."
BK_bk_29_1,BOOK:bk_29,Một thoáng ta rực rỡ ở nhân gian,"Lá thư đầy cảm xúc của một chàng trai trẻ gửi mẹ, kể lại tuổi thơ di dân, tình yêu đầu đời và hành trình tìm kiếm bản dạng giữa đau thương và hy vọng."
BK_bk_30_1,BOOK:bk_30,Tư duy nhanh và chậm,"Hai hệ tư duy: nhanh trực giác và chậm suy luận, ảnh hưởng tới quyết định hàng ngày."
BK_bk_31_1,BOOK:bk_31,Bắt Trẻ Đồng Xanh,"Hành trình của Holden Caulfield – một thiếu niên lạc lõng, nổi loạn – vật lộn với nỗi cô đơn, sự hoài nghi và khát khao tìm lại sự thuần khiết trong một thế giới “giả tạo”."
BK_bk_32_1,BOOK:bk_32,Giết con chim nhại,"Qua góc nhìn trẻ thơ của Scout, câu chuyện phơi bày bất công chủng tộc và sức mạnh của lòng dũng cảm, đồng thời ca ngợi sự tử tế ngay trong những thời khắc tăm tối."
BK_bk_33_1,BOOK:bk_33,Bố Già,"Bức tranh sâu sắc về thế giới mafia Mỹ, xoay quanh quyền lực, gia đình và sự chuyển giao tàn khốc giữa các thế hệ trong dòng họ Corleone."
BK_bk_34_1,BOOK:bk_34,Đồi Gió Hú,"Một bi kịch tình yêu đầy ám ảnh giữa Heathcliff và Catherine, nơi đam mê, hận thù và sự trả thù kéo dài qua nhiều thế hệ."
BK_bk_35_1,BOOK:bk_35,Kiêu Hãnh và Định Kiến,"Câu chuyện lãng mạn nhưng sắc sảo về Elizabeth Bennet và Mr. Darcy, xoay quanh định kiến xã hội, sự trưởng thành và bài học về lòng tự trọng."
BK_bk_36_1,BOOK:bk_36,Ông Già và Biển Cả,"Hành trình kiên cường của lão ngư Santiago chống lại con cá kiếm khổng lồ, tượng trưng cho ý chí, lòng kiêu hãnh và phẩm giá của con người."
BK_bk_37_1,BOOK:bk_37,Thế Giới Của Sophie,"Một cô bé bước vào thế giới triết học qua những lá thư bí ẩn, mở ra hành trình khám phá lịch sử tư tưởng và những câu hỏi lớn của con người."
BK_bk_38_1,BOOK:bk_38,Đi Tìm Lẽ Sống,Frankl kể về trải nghiệm trong trại tập trung và khẳng định rằng ý nghĩa sống – chứ không phải hoàn cảnh – giúp con người vượt qua đau khổ tột cùng.
BK_bk_39_1,BOOK:bk_39,Khi Lỗi Thuộc Về Những Vì Sao,"Chuyện tình cảm động của Hazel và Gus, hai thiếu niên mắc bệnh hiểm nghèo, đối mặt với tình yêu, mất mát và ý nghĩa thật sự của cuộc sống."
BK_bk_40_1,BOOK:bk_40,Suối Nguồn,"Cuộc đời của kiến trúc sư Howard Roark – biểu tượng của chủ nghĩa cá nhân, sáng tạo và sự kiên định tuyệt đối với lý tưởng của mình."
BK_bk_41_1,BOOK:bk_41,7 thói quen của bạn trẻ thành đạt,"Cuốn sách hướng dẫn thanh thiếu niên xây dựng kỷ luật, tư duy tích cực và kỹ năng sống thiết yếu để đạt sự hiệu quả và phát triển bản thân."
BK_bk_42_1,BOOK:bk_42,Từ Tốt Đến Vĩ Đại,"Nghiên cứu chỉ ra các yếu tố giúp doanh nghiệp “nhảy vọt”, nhấn mạnh vào lãnh đạo cấp độ 5, kỷ luật và mô hình con nhím để đạt thành công bền vững."
BK_bk_43_1,BOOK:bk_43,Thiên nga đen: Xác suất cực nhỏ - tác động cực lớn,"Khám phá những biến cố hiếm gặp nhưng tạo ra tác động khổng lồ, và cách con người thường xuyên đánh giá sai rủi ro, hiểu lầm sự ngẫu nhiên trong cuộc sống."
BK_bk_44_1,BOOK:bk_44,Dám Nghĩ Lớn,"Khuyến khích người đọc mở rộng tư duy, tin vào khả năng của bản thân và hành động theo những mục tiêu lớn để tạo ra thành công vượt trội."
BK_bk_45_1,BOOK:bk_45,Ai Lấy Miếng Pho Mát Của Tôi?,"Một câu chuyện ngụ ngôn đơn giản nhưng sâu sắc về việc thích nghi với thay đổi, chấp nhận chuyển dịch và chủ động tìm kiếm cơ hội mới."
BK_bk_46_1,BOOK:bk_46,Biên Niên Ký Chim Vặn Dây Cót,"Một hành trình kỳ ảo và u tối của Toru Okada trong cuộc tìm kiếm người vợ mất tích, đan xen những bí ẩn tâm lý, chiến tranh và thế giới siêu thực."
BK_bk_47_1,BOOK:bk_47,Kafka Bên Bờ Biển,"Hai câu chuyện song song – cậu bé Kafka bỏ nhà đi và ông lão Nakata nói chuyện với mèo – hòa quyện theo cách siêu thực, khám phá định mệnh, kí ức và bản ngã."
BK_bk_48_1,BOOK:bk_48,Tên Của Đóa Hồng,"Một vụ án bí ẩn trong tu viện thời Trung Cổ, nơi triết học, tôn giáo và tội ác đan xen qua cuộc điều tra sắc bén của tu sĩ William xứ Baskerville."
BK_bk_49_1,BOOK:bk_49,Người Đua Diều,"Người Đua Diều kể về Amir, một cậu bé Afghanistan mang nỗi ám ảnh tội lỗi vì đã phản bội người bạn trung thành Hassan, và hành trình trưởng thành đầy đau đớn khi anh quay lại quê hương để chuộc lại lỗi lầm. Đây là câu chuyện xúc động về tình bạn, sự phản bội và khát vọng cứu rỗi."
